Paper #,Set,tau,n,Q,sigma_tau,sigma_n,sigma_Q
1.0,1.0,0.4856405600758227,1.3025114653628662,106.10901963723686,0.04099935562619409,0.1666712165312085,3.1116911312019453
1.0,1.0,0.48735648146437516,1.1716655512348142,105.11247910450197,0.052060953868479413,0.18099626386423534,3.983500201961766
4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,1.0,0.9472680583112575,2.2239192560183927,153.77836526454055,0.0060259919010236486,0.03184829394997488,0.4129295751577916
17.0,2.0,0.5298482565956849,2.2441434842343884,151.12482758554265,0.003813524601005724,0.037863371855771655,0.34936848128429204
17.0,3.0,0.2703646303441631,1.8846550158317739,152.60645988876902,0.011258085424605461,0.11742564803593883,0.5183685442380734
19.0,1.0,2.6752835242616785e-06,0.11514145204169474,196.64582477452097,4.112225979090112e-06,0.0413402647294436,19.048467501213512
23.0,1.0,0.09230205106663794,4.669976716007622,127.71669214900561,0.0029322321625503047,0.5646676157015504,1.1714560593958503
23.0,2.0,0.09525889716251723,4.52673159588073,127.90635249090201,0.002588878247092758,0.49596069938674414,1.237087471771242
27.0,1.0,0.0344672474065517,2.421714012215387,135.23203966720936,0.0015120721455199615,0.28272221811245957,1.332360855903706
31.0,1.0,0.10988126051525932,2.3639782533754645,306.7576531483032,0.03338903291495714,1.6254012035182255,56.54168194141118
31.0,2.0,0.09451542196703228,1.4028702972546128,313.64125788921956,0.009626268229768569,0.2332875664723996,14.565563888569121
